epoch,step,train_loss
0,7,nan
1,15,nan
2,23,nan
3,31,nan
4,39,nan
5,47,nan
6,55,nan
7,63,nan
8,71,nan
9,79,nan
10,87,nan
11,95,nan
12,103,nan
13,111,nan
14,119,nan
15,127,nan
16,135,nan
17,143,nan
18,151,nan
19,159,nan
20,167,nan
21,175,nan
22,183,nan
23,191,nan
24,199,nan
25,207,nan
26,215,nan
27,223,nan
28,231,nan
29,239,nan
30,247,nan
31,255,nan
32,263,nan
33,271,nan
34,279,nan
35,287,nan
36,295,nan
37,303,nan
38,311,nan
39,319,nan
40,327,nan
41,335,nan
42,343,nan
43,351,nan
44,359,nan
45,367,nan
46,375,nan
47,383,nan
48,391,nan
49,399,nan
50,407,nan
51,415,nan
52,423,nan
53,431,nan
54,439,nan
55,447,nan
56,455,nan
57,463,nan
58,471,nan
59,479,nan
60,487,nan
61,495,nan
62,503,nan
63,511,nan
64,519,nan
65,527,nan
66,535,nan
67,543,nan
68,551,nan
69,559,nan
70,567,nan
71,575,nan
72,583,nan
73,591,nan
74,599,nan
75,607,nan
76,615,nan
77,623,nan
78,631,nan
79,639,nan
80,647,nan
81,655,nan
82,663,nan
83,671,nan
84,679,nan
85,687,nan
86,695,nan
87,703,nan
88,711,nan
89,719,nan
90,727,nan
91,735,nan
92,743,nan
93,751,nan
94,759,nan
95,767,nan
96,775,nan
97,783,nan
98,791,nan
99,799,nan
100,807,nan
101,815,nan
102,823,nan
103,831,nan
104,839,nan
105,847,nan
106,855,nan
107,863,nan
108,871,nan
109,879,nan
110,887,nan
111,895,nan
112,903,nan
113,911,nan
114,919,nan
115,927,nan
116,935,nan
117,943,nan
118,951,nan
119,959,nan
120,967,nan
121,975,nan
122,983,nan
123,991,nan
124,999,nan
125,1007,nan
126,1015,nan
127,1023,nan
128,1031,nan
129,1039,nan
130,1047,nan
131,1055,nan
132,1063,nan
133,1071,nan
134,1079,nan
135,1087,nan
136,1095,nan
137,1103,nan
138,1111,nan
139,1119,nan
140,1127,nan
141,1135,nan
142,1143,nan
143,1151,nan
144,1159,nan
145,1167,nan
146,1175,nan
147,1183,nan
148,1191,nan
149,1199,nan
150,1207,nan
151,1215,nan
152,1223,nan
153,1231,nan
154,1239,nan
155,1247,nan
156,1255,nan
157,1263,nan
158,1271,nan
159,1279,nan
160,1287,nan
161,1295,nan
162,1303,nan
163,1311,nan
164,1319,nan
165,1327,nan
166,1335,nan
167,1343,nan
168,1351,nan
169,1359,nan
170,1367,nan
171,1375,nan
172,1383,nan
173,1391,nan
174,1399,nan
175,1407,nan
176,1415,nan
177,1423,nan
178,1431,nan
179,1439,nan
180,1447,nan
181,1455,nan
182,1463,nan
183,1471,nan
184,1479,nan
185,1487,nan
186,1495,nan
187,1503,nan
188,1511,nan
189,1519,nan
190,1527,nan
191,1535,nan
192,1543,nan
193,1551,nan
194,1559,nan
195,1567,nan
196,1575,nan
197,1583,nan
198,1591,nan
199,1599,nan
200,1607,nan
201,1615,nan
202,1623,nan
203,1631,nan
204,1639,nan
205,1647,nan
206,1655,nan
207,1663,nan
208,1671,nan
209,1679,nan
210,1687,nan
211,1695,nan
212,1703,nan
213,1711,nan
214,1719,nan
215,1727,nan
216,1735,nan
217,1743,nan
218,1751,nan
219,1759,nan
220,1767,nan
221,1775,nan
222,1783,nan
223,1791,nan
224,1799,nan
225,1807,nan
226,1815,nan
227,1823,nan
228,1831,nan
229,1839,nan
230,1847,nan
231,1855,nan
232,1863,nan
233,1871,nan
234,1879,nan
235,1887,nan
236,1895,nan
237,1903,nan
238,1911,nan
239,1919,nan
240,1927,nan
241,1935,nan
242,1943,nan
243,1951,nan
244,1959,nan
245,1967,nan
246,1975,nan
247,1983,nan
248,1991,nan
249,1999,nan
250,2007,nan
251,2015,nan
252,2023,nan
253,2031,nan
254,2039,nan
255,2047,nan
256,2055,nan
257,2063,nan
258,2071,nan
259,2079,nan
260,2087,nan
261,2095,nan
262,2103,nan
263,2111,nan
264,2119,nan
265,2127,nan
266,2135,nan
267,2143,nan
268,2151,nan
269,2159,nan
270,2167,nan
271,2175,nan
272,2183,nan
273,2191,nan
274,2199,nan
275,2207,nan
276,2215,nan
277,2223,nan
278,2231,nan
279,2239,nan
280,2247,nan
281,2255,nan
282,2263,nan
283,2271,nan
284,2279,nan
285,2287,nan
286,2295,nan
287,2303,nan
288,2311,nan
289,2319,nan
290,2327,nan
291,2335,nan
292,2343,nan
293,2351,nan
294,2359,nan
295,2367,nan
296,2375,nan
297,2383,nan
298,2391,nan
299,2399,nan
300,2407,nan
301,2415,nan
302,2423,nan
303,2431,nan
304,2439,nan
305,2447,nan
306,2455,nan
307,2463,nan
308,2471,nan
309,2479,nan
310,2487,nan
311,2495,nan
312,2503,nan
313,2511,nan
314,2519,nan
315,2527,nan
316,2535,nan
317,2543,nan
318,2551,nan
319,2559,nan
320,2567,nan
321,2575,nan
322,2583,nan
323,2591,nan
324,2599,nan
325,2607,nan
326,2615,nan
327,2623,nan
328,2631,nan
329,2639,nan
330,2647,nan
331,2655,nan
332,2663,nan
333,2671,nan
334,2679,nan
335,2687,nan
336,2695,nan
337,2703,nan
338,2711,nan
339,2719,nan
340,2727,nan
341,2735,nan
342,2743,nan
343,2751,nan
344,2759,nan
345,2767,nan
346,2775,nan
347,2783,nan
348,2791,nan
349,2799,nan
350,2807,nan
351,2815,nan
352,2823,nan
353,2831,nan
354,2839,nan
355,2847,nan
356,2855,nan
357,2863,nan
358,2871,nan
359,2879,nan
360,2887,nan
361,2895,nan
362,2903,nan
363,2911,nan
364,2919,nan
365,2927,nan
366,2935,nan
367,2943,nan
368,2951,nan
369,2959,nan
370,2967,nan
371,2975,nan
372,2983,nan
373,2991,nan
374,2999,nan
375,3007,nan
376,3015,nan
377,3023,nan
378,3031,nan
379,3039,nan
380,3047,nan
381,3055,nan
382,3063,nan
383,3071,nan
384,3079,nan
385,3087,nan
386,3095,nan
387,3103,nan
388,3111,nan
389,3119,nan
390,3127,nan
391,3135,nan
392,3143,nan
393,3151,nan
394,3159,nan
395,3167,nan
396,3175,nan
397,3183,nan
398,3191,nan
399,3199,nan
400,3207,nan
401,3215,nan
402,3223,nan
403,3231,nan
404,3239,nan
405,3247,nan
406,3255,nan
407,3263,nan
408,3271,nan
409,3279,nan
410,3287,nan
411,3295,nan
412,3303,nan
413,3311,nan
414,3319,nan
415,3327,nan
416,3335,nan
417,3343,nan
418,3351,nan
419,3359,nan
420,3367,nan
421,3375,nan
422,3383,nan
423,3391,nan
424,3399,nan
425,3407,nan
426,3415,nan
427,3423,nan
428,3431,nan
429,3439,nan
430,3447,nan
431,3455,nan
432,3463,nan
433,3471,nan
434,3479,nan
435,3487,nan
436,3495,nan
437,3503,nan
438,3511,nan
439,3519,nan
440,3527,nan
441,3535,nan
442,3543,nan
443,3551,nan
444,3559,nan
445,3567,nan
446,3575,nan
447,3583,nan
448,3591,nan
449,3599,nan
450,3607,nan
451,3615,nan
452,3623,nan
453,3631,nan
454,3639,nan
455,3647,nan
456,3655,nan
457,3663,nan
458,3671,nan
459,3679,nan
460,3687,nan
461,3695,nan
462,3703,nan
463,3711,nan
464,3719,nan
465,3727,nan
466,3735,nan
467,3743,nan
468,3751,nan
469,3759,nan
470,3767,nan
471,3775,nan
472,3783,nan
473,3791,nan
474,3799,nan
475,3807,nan
476,3815,nan
477,3823,nan
478,3831,nan
479,3839,nan
480,3847,nan
481,3855,nan
482,3863,nan
483,3871,nan
484,3879,nan
485,3887,nan
486,3895,nan
487,3903,nan
488,3911,nan
489,3919,nan
490,3927,nan
491,3935,nan
492,3943,nan
493,3951,nan
494,3959,nan
495,3967,nan
496,3975,nan
497,3983,nan
498,3991,nan
499,3999,nan
